,NOMBRE,EDAD,CORREO,TIPO,GRUPO,NIVEL,JORNADA,DIA,HORARIO,SUBMODULO,DOCENTE,MOMENTO,CONOCIMIENTO,DESEMPEÑO,PRODUCTO,BECADO,ESTADO
21,Robin Torres,19,cburgess@example.org,EMPRESARIAL,2,2,MAÑANA,MARTES,7:30-10:30,Programación para la Web I,Edward Watson,3,3.5,3.4,3.0,SI,FORMACIÓN
22,Robert Reed,27,megan72@example.org,EMPRESARIAL,33,2,NOCHE,VIERNES,18:15-21:25,Programación de Aplicaciones Móviles I,Edward Watson,2,3.8,3.1,3.8,SI,FORMACIÓN
23,Sandra Arellano,24,kevin40@example.org,EMPRESARIAL,7,2,NOCHE,VIERNES,18:15-21:25,Programación para la Web I,Anna Cruz,3,3.5,4.8,3.3,NO,FORMACIÓN
24,Christian Luna,24,julie23@example.org,REGULAR,32,2,NOCHE,VIERNES,18:15-21:25,Programación de Aplicaciones Móviles I,Connie Pace,2,3.5,4.9,4.5,NO,FORMACIÓN
25,Jonathan Cooper,22,kevin75@example.org,EMPRESARIAL,38,2,NOCHE,MARTES,18:15-21:25,Gestión de Bases de Datos,Edward Watson,3,4.0,2.9,4.2,SI,FORMACIÓN
26,Robert Le,21,cervantesmelissa@example.net,REGULAR,29,3,NOCHE,MIERCOLES,18:15-21:25,Programación de Aplicaciones Móviles II,Edward Watson,1,4.2,4.4,3.7,SI,FORMACIÓN
27,Christian Lopez,27,qmcclure@example.com,REGULAR,31,2,MAÑANA,VIERNES,7:30-10:30,Gestión de Bases de Datos,Christopher Thomas,2,5.0,4.8,4.2,NO,FORMACIÓN
28,Nicole Lang,27,jenniferbrown@example.net,REGULAR,19,3,MAÑANA,SABADO,7:30-10:30,Nuevas Tecnologias de la Programación,Michael Williams,3,4.4,4.1,3.1,SI,FORMACIÓN
29,Kristin Davis,25,ebaker@example.org,EMPRESARIAL,12,1,MAÑANA,SABADO,7:30-10:30,Lógica de Programación,Michael Williams,1,3.8,4.9,4.0,SI,FORMACIÓN
30,Shaun Lara,27,johnalexander@example.org,EMPRESARIAL,37,1,NOCHE,JUEVES,18:15-21:25,Lógica de Programación,Edward Watson,1,5.0,4.4,4.6,NO,FORMACIÓN
31,Laura Phillips,27,youngmarcus@example.com,REGULAR,21,2,TARDE,SABADO,15:00-18:00,Programación de Aplicaciones Móviles I,Bradley Jimenez,1,4.4,4.5,4.6,NO,FORMACIÓN
32,Cassie Gardner,18,krobertson@example.org,EMPRESARIAL,7,2,NOCHE,VIERNES,18:15-21:25,Programación para la Web I,Emily Villegas,3,3.1,4.6,2.9,NO,FORMACIÓN
33,Jerry Gonzalez,18,coreybender@example.org,REGULAR,2,2,MAÑANA,MARTES,7:30-10:30,Programación para la Web I,Erin Smith,3,4.7,4.0,4.5,NO,FORMACIÓN
34,Mark Riley,24,jessicacarroll@example.net,REGULAR,38,2,NOCHE,MARTES,18:15-21:25,Gestión de Bases de Datos,Connie Pace,2,3.0,3.7,4.3,SI,FORMACIÓN
35,Christina Simmons,25,ashleywilliams@example.org,REGULAR,36,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Raymond Miller,1,4.9,4.1,4.7,NO,FORMACIÓN
36,Michael Santos,20,nicholas04@example.net,REGULAR,17,1,NOCHE,JUEVES,18:15-21:25,Introducción a la Programación,Connie Pace,2,3.4,3.8,2.9,SI,FORMACIÓN
37,Cynthia Garrett,27,kelleyjacob@example.org,REGULAR,4,1,NOCHE,MIERCOLES,18:15-21:25,Metodologías Ágiles para la Programación,Christopher Thomas,3,4.1,3.1,4.1,NO,FORMACIÓN
38,Amber Perkins,25,darrenerickson@example.com,REGULAR,37,1,NOCHE,JUEVES,18:15-21:25,Lógica de Programación,Raymond Miller,2,3.9,3.9,4.4,SI,FORMACIÓN
39,Teresa Garcia,25,anthony99@example.com,REGULAR,29,3,NOCHE,MIERCOLES,18:15-21:25,Programación de Aplicaciones Móviles II,Emily Villegas,1,3.6,3.9,4.1,NO,FORMACIÓN
40,Dr. Courtney Hurst,28,sgamble@example.org,EMPRESARIAL,20,4,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Programación Avanzada,Michael Williams,3,2.8,3.4,2.9,SI,FORMACIÓN
41,Cory Johnston,29,josephbarton@example.net,REGULAR,5,3,NOCHE,JUEVES,18:15-21:25,Programación para la Web II,Erin Smith,2,3.0,4.2,2.9,SI,FORMACIÓN
42,Cory Johnston,29,josephbarton@example.net,REGULAR,5,3,NOCHE,JUEVES,18:15-21:25,Programación para la Web II,Erin Smith,1,3.2,3.3,4.5,SI,FORMACIÓN
43,Robin Kaiser,25,katherinenelson@example.org,REGULAR,14,1,MAÑANA,MARTES,7:30-10:30,Lógica de Programación,Michael Williams,1,3.3,3.6,3.0,NO,FORMACIÓN
44,Michelle Evans,23,diane29@example.org,REGULAR,27,2,MAÑANA,JUEVES,7:30-10:30,Programación de Aplicaciones Móviles I,Anna Cruz,3,2.9,3.3,4.5,NO,FORMACIÓN
45,Matthew Thomas,22,rushthomas@example.org,REGULAR,28,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Raymond Miller,2,4.1,4.2,4.2,NO,FORMACIÓN
46,Ryan Wilson,28,haydenharvey@example.net,REGULAR,18,3,NOCHE,VIERNES,18:15-21:25,Nuevas Tecnologias de la Programación,Connie Pace,1,3.8,4.9,4.7,SI,FORMACIÓN
47,Evan Roman,25,smithedgar@example.com,REGULAR,24,2,TARDE,SABADO,15:00-18:00,Programación para la Web I,Sierra Phillips,2,5.0,4.1,4.9,NO,FORMACIÓN
48,Wendy Jackson,27,christopher02@example.org,REGULAR,9,1,NOCHE,MARTES,18:15-21:25,Introducción a la Programación,Erin Smith,2,3.7,4.8,3.0,NO,FORMACIÓN
49,Laura Weber,27,fchristensen@example.com,EMPRESARIAL,38,2,NOCHE,MARTES,18:15-21:25,Gestión de Bases de Datos,Christopher Thomas,2,3.5,4.9,4.1,NO,FORMACIÓN
50,Kevin Benson,25,qrogers@example.com,EMPRESARIAL,13,2,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Gestión de Bases de Datos,Sierra Phillips,2,4.4,4.6,3.3,SI,FORMACIÓN
51,Laura Phillips,27,youngmarcus@example.com,EMPRESARIAL,21,2,TARDE,SABADO,15:00-18:00,Programación de Aplicaciones Móviles I,Bradley Jimenez,3,4.6,3.2,3.8,NO,FORMACIÓN
52,Jeanne Mitchell,30,marvincarey@example.org,EMPRESARIAL,27,2,MAÑANA,JUEVES,7:30-10:30,Programación de Aplicaciones Móviles I,Michael Williams,3,4.1,4.9,4.7,SI,FORMACIÓN
53,Susan Edwards,29,jessica51@example.org,EMPRESARIAL,25,1,MAÑANA,JUEVES,7:30-10:30,Introducción a la Programación,Sierra Phillips,2,4.9,3.8,3.5,SI,FORMACIÓN
54,Thomas Dixon,27,hornpatricia@example.net,REGULAR,19,3,MAÑANA,SABADO,7:30-10:30,Nuevas Tecnologias de la Programación,Christopher Thomas,3,3.7,4.5,4.4,SI,FORMACIÓN
55,Danielle Bennett,24,cbradley@example.org,REGULAR,24,2,TARDE,SABADO,15:00-18:00,Programación para la Web I,Connie Pace,2,4.0,3.8,4.0,NO,FORMACIÓN
56,Christian Lopez,27,qmcclure@example.com,REGULAR,31,2,MAÑANA,VIERNES,7:30-10:30,Gestión de Bases de Datos,Christopher Thomas,1,3.8,4.9,4.3,NO,FORMACIÓN
57,Edward Gonzalez,24,montgomerydaisy@example.com,REGULAR,36,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Kathryn Carroll,1,3.0,5.0,4.3,NO,FORMACIÓN
58,George Johnson,25,emilyprice@example.net,EMPRESARIAL,38,2,NOCHE,MARTES,18:15-21:25,Gestión de Bases de Datos,Edward Watson,2,4.3,5.0,4.3,SI,FORMACIÓN
59,James Scott,23,justinware@example.net,EMPRESARIAL,33,2,NOCHE,VIERNES,18:15-21:25,Programación de Aplicaciones Móviles I,Erin Smith,3,4.5,3.5,4.3,NO,FORMACIÓN
60,Chelsea Williams,18,vgalvan@example.net,EMPRESARIAL,9,1,NOCHE,MARTES,18:15-21:25,Introducción a la Programación,Erin Smith,1,4.4,4.5,4.4,SI,FORMACIÓN
61,Vincent Wood,19,brownmegan@example.org,EMPRESARIAL,23,3,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Programación de Aplicaciones Móviles II,Bradley Jimenez,3,3.0,3.4,4.9,SI,FORMACIÓN
62,Natalie Taylor,22,jenniferrivers@example.com,REGULAR,8,1,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Metodologías Ágiles para la Programación,Edward Watson,1,4.8,4.3,3.8,SI,FORMACIÓN
63,Sharon Brown,26,whitakermichael@example.net,EMPRESARIAL,11,3,NOCHE,SABADO,18:15-21:25,Nuevas Tecnologias de la Programación,Connie Pace,2,2.9,3.3,4.0,SI,FORMACIÓN
64,Jordan Carter,22,sarahrodriguez@example.org,REGULAR,16,1,MAÑANA,JUEVES,7:30-10:30,Introducción a la Programación,Erin Smith,1,4.7,4.8,3.0,SI,FORMACIÓN
65,Shannon Cox,20,jennifer97@example.net,REGULAR,32,2,NOCHE,VIERNES,18:15-21:25,Programación de Aplicaciones Móviles I,Raymond Miller,2,3.1,3.8,3.0,SI,FORMACIÓN
66,Kristin Davis,25,ebaker@example.org,REGULAR,12,1,MAÑANA,SABADO,7:30-10:30,Lógica de Programación,Michael Williams,3,4.2,4.5,3.8,NO,FORMACIÓN
67,Alyssa Thomas,19,daniel40@example.org,REGULAR,24,2,TARDE,SABADO,15:00-18:00,Programación para la Web I,Erica Ramirez,2,3.3,4.6,4.9,SI,FORMACIÓN
68,Jonathan Fitzgerald,29,nsalas@example.com,EMPRESARIAL,14,1,MAÑANA,MARTES,7:30-10:30,Lógica de Programación,Sierra Phillips,3,3.0,3.9,4.4,SI,FORMACIÓN
69,Natasha Perkins,28,alex95@example.net,EMPRESARIAL,29,3,NOCHE,MIERCOLES,18:15-21:25,Programación de Aplicaciones Móviles II,Christopher Thomas,1,3.4,4.9,3.3,NO,FORMACIÓN
70,Felicia Buckley,29,iward@example.net,EMPRESARIAL,32,2,NOCHE,VIERNES,18:15-21:25,Programación de Aplicaciones Móviles I,Erica Ramirez,1,4.7,3.2,4.0,SI,FORMACIÓN
71,Ryan Castillo,29,aprilsalazar@example.net,EMPRESARIAL,9,1,NOCHE,MARTES,18:15-21:25,Introducción a la Programación,Raymond Miller,2,4.5,4.9,4.5,NO,FORMACIÓN
72,Robert Gibson,20,lucasandrew@example.net,REGULAR,36,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Anna Cruz,2,3.2,3.3,4.1,NO,FORMACIÓN
73,Jack Moore,27,stephanieparker@example.net,EMPRESARIAL,11,3,NOCHE,SABADO,18:15-21:25,Nuevas Tecnologias de la Programación,Raymond Miller,3,4.1,3.0,2.9,SI,FORMACIÓN
74,Mr. Ronald Craig,19,ecruz@example.org,REGULAR,9,1,NOCHE,MARTES,18:15-21:25,Introducción a la Programación,Raymond Miller,1,4.2,3.7,4.4,NO,FORMACIÓN
75,Vincent Lambert,28,emily61@example.org,REGULAR,31,2,MAÑANA,VIERNES,7:30-10:30,Gestión de Bases de Datos,Anna Cruz,1,3.0,4.4,4.0,SI,FORMACIÓN
76,Suzanne Dunlap,23,simmonsjason@example.org,REGULAR,4,1,NOCHE,MIERCOLES,18:15-21:25,Metodologías Ágiles para la Programación,Raymond Miller,3,3.1,4.3,4.2,SI,FORMACIÓN
77,Luke Jensen,26,kyleobrien@example.org,REGULAR,31,2,MAÑANA,VIERNES,7:30-10:30,Gestión de Bases de Datos,Connie Pace,1,3.4,4.9,4.7,SI,FORMACIÓN
78,Taylor Baxter,19,joann82@example.org,EMPRESARIAL,16,1,MAÑANA,JUEVES,7:30-10:30,Introducción a la Programación,Raymond Miller,1,3.5,3.3,4.0,SI,FORMACIÓN
79,Dana Bryant,21,jordan91@example.net,EMPRESARIAL,33,2,NOCHE,VIERNES,18:15-21:25,Programación de Aplicaciones Móviles I,Sierra Phillips,2,4.6,4.3,3.2,SI,FORMACIÓN
80,Jordan Robinson,29,jessicawilson@example.net,EMPRESARIAL,12,1,MAÑANA,SABADO,7:30-10:30,Lógica de Programación,Anna Cruz,1,4.7,4.4,3.9,SI,FORMACIÓN
81,Amanda Young,20,jbrown@example.org,REGULAR,14,1,MAÑANA,MARTES,7:30-10:30,Lógica de Programación,Edward Watson,3,3.9,4.7,4.1,SI,CANCELADO
82,Edward West,23,troberts@example.org,REGULAR,4,1,NOCHE,MIERCOLES,18:15-21:25,Metodologías Ágiles para la Programación,Edward Watson,1,3.7,3.7,2.8,NO,CANCELADO
83,Gail Mccarthy,28,staceyflynn@example.com,EMPRESARIAL,8,1,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Metodologías Ágiles para la Programación,Bradley Jimenez,2,3.0,3.8,3.8,NO,CANCELADO
84,Mr. Keith Riddle,25,joseph23@example.org,REGULAR,8,1,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Metodologías Ágiles para la Programación,Emily Villegas,2,4.9,4.3,4.8,SI,FORMACIÓN
85,Glen Johnson DVM,27,alexisdougherty@example.org,EMPRESARIAL,16,1,MAÑANA,JUEVES,7:30-10:30,Introducción a la Programación,Emily Villegas,3,4.2,4.0,4.2,SI,FORMACIÓN
86,Melanie Reynolds,22,thomasmichael@example.com,EMPRESARIAL,5,3,NOCHE,JUEVES,18:15-21:25,Programación para la Web II,Michael Williams,1,3.1,4.3,4.0,NO,FORMACIÓN
87,Cynthia Spencer,21,plynn@example.com,REGULAR,37,1,NOCHE,JUEVES,18:15-21:25,Lógica de Programación,Kathryn Carroll,2,4.1,3.2,3.6,NO,FORMACIÓN
88,Tanya Garcia,30,nancygreen@example.org,EMPRESARIAL,16,1,MAÑANA,JUEVES,7:30-10:30,Introducción a la Programación,Erica Ramirez,3,3.7,3.1,3.1,NO,FORMACIÓN
89,Angela Macdonald,25,gregory55@example.com,EMPRESARIAL,2,2,MAÑANA,MARTES,7:30-10:30,Programación para la Web I,Connie Pace,3,3.2,3.0,4.2,SI,FORMACIÓN
90,Kathleen Douglas,19,iray@example.net,REGULAR,38,2,NOCHE,MARTES,18:15-21:25,Gestión de Bases de Datos,Raymond Miller,3,3.2,3.5,3.9,SI,FORMACIÓN
91,William Pittman,22,dominiquemendoza@example.org,EMPRESARIAL,29,3,NOCHE,MIERCOLES,18:15-21:25,Programación de Aplicaciones Móviles II,Anna Cruz,2,4.6,2.9,4.4,SI,FORMACIÓN
92,Stacy Clay,18,angela72@example.com,REGULAR,23,3,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Programación de Aplicaciones Móviles II,Edward Watson,1,4.9,4.0,4.2,SI,FORMACIÓN
93,Denise Waller,26,padams@example.com,EMPRESARIAL,37,1,NOCHE,JUEVES,18:15-21:25,Lógica de Programación,Sierra Phillips,3,4.3,4.6,5.0,NO,FORMACIÓN
94,Kristin Ramirez,28,rflores@example.org,REGULAR,38,2,NOCHE,MARTES,18:15-21:25,Gestión de Bases de Datos,Sierra Phillips,1,2.9,4.9,4.0,SI,FORMACIÓN
95,Allison Dixon,19,zacharybryant@example.com,EMPRESARIAL,1,2,NOCHE,LUNES,18:15-21:25,Gestión de Bases de Datos,Kathryn Carroll,1,3.3,3.1,4.6,SI,FORMACIÓN
96,Michael Roberson,20,wbuck@example.com,EMPRESARIAL,31,2,MAÑANA,VIERNES,7:30-10:30,Gestión de Bases de Datos,Michael Williams,2,4.9,4.1,3.2,NO,FORMACIÓN
97,Lori Perkins,26,lambertjennifer@example.net,REGULAR,28,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Kathryn Carroll,3,3.6,4.9,4.2,NO,FORMACIÓN
98,Justin Jackson,19,hansengail@example.net,REGULAR,32,2,NOCHE,VIERNES,18:15-21:25,Programación de Aplicaciones Móviles I,Connie Pace,3,3.2,4.7,4.0,NO,FORMACIÓN
99,Rachel Taylor,22,mhart@example.org,REGULAR,26,3,NOCHE,MIERCOLES,18:15-21:25,Programación de Aplicaciones Móviles II,Emily Villegas,1,2.9,4.1,4.5,NO,FORMACIÓN
100,Diana Mann,19,jkelley@example.org,REGULAR,23,3,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Programación de Aplicaciones Móviles II,Connie Pace,2,3.3,4.1,4.1,NO,FORMACIÓN
101,Matthew Trevino,26,jefferyharding@example.org,EMPRESARIAL,14,1,MAÑANA,MARTES,7:30-10:30,Lógica de Programación,Edward Watson,2,4.6,3.8,3.1,SI,FORMACIÓN
102,Jordan Carter,22,sarahrodriguez@example.org,REGULAR,16,1,MAÑANA,JUEVES,7:30-10:30,Introducción a la Programación,Erin Smith,2,4.6,3.2,4.8,SI,FORMACIÓN
103,Timothy Martinez,28,jefferyolson@example.net,EMPRESARIAL,5,3,NOCHE,JUEVES,18:15-21:25,Programación para la Web II,Christopher Thomas,2,3.6,4.7,3.8,NO,FORMACIÓN
104,Andrew Taylor,23,dawn59@example.com,REGULAR,28,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Bradley Jimenez,2,4.3,2.9,4.4,SI,FORMACIÓN
105,Derek Sanchez,21,katelyn22@example.com,REGULAR,14,1,MAÑANA,MARTES,7:30-10:30,Lógica de Programación,Erica Ramirez,1,3.6,3.5,4.0,SI,FORMACIÓN
106,Erica Ramirez,22,andrewosborn@example.org,EMPRESARIAL,31,2,MAÑANA,VIERNES,7:30-10:30,Gestión de Bases de Datos,Kathryn Carroll,1,5.0,3.4,3.4,SI,FORMACIÓN
107,Shaun Morris,23,joneskenneth@example.com,REGULAR,8,1,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Metodologías Ágiles para la Programación,Edward Watson,1,3.7,3.9,3.4,SI,FORMACIÓN
108,Beverly Marshall,21,hernandezchad@example.net,EMPRESARIAL,25,1,MAÑANA,JUEVES,7:30-10:30,Introducción a la Programación,Christopher Thomas,2,3.7,3.0,3.8,NO,FORMACIÓN
109,Ernest Santos,21,lynnramirez@example.org,EMPRESARIAL,12,1,MAÑANA,SABADO,7:30-10:30,Lógica de Programación,Emily Villegas,2,3.1,4.4,3.5,SI,FORMACIÓN
110,Samantha Bates DVM,18,hartheidi@example.com,EMPRESARIAL,3,3,NOCHE,MARTES,18:15-21:25,Programación para la Web II,Anna Cruz,1,4.0,3.6,4.6,SI,FORMACIÓN
111,Michael Cochran,27,jesse39@example.org,EMPRESARIAL,26,3,NOCHE,MIERCOLES,18:15-21:25,Programación de Aplicaciones Móviles II,Raymond Miller,1,4.8,4.6,4.9,SI,FORMACIÓN
112,Krystal Lee,23,holtsamuel@example.com,EMPRESARIAL,5,3,NOCHE,JUEVES,18:15-21:25,Programación para la Web II,Christopher Thomas,3,3.6,3.9,3.3,SI,FORMACIÓN
113,Dennis Wheeler,26,jamesmullins@example.org,EMPRESARIAL,19,3,MAÑANA,SABADO,7:30-10:30,Nuevas Tecnologias de la Programación,Kathryn Carroll,2,3.4,3.4,3.4,NO,FORMACIÓN
114,Chad Johnson,29,russell07@example.com,EMPRESARIAL,14,1,MAÑANA,MARTES,7:30-10:30,Lógica de Programación,Erin Smith,2,3.3,4.5,3.9,NO,FORMACIÓN
115,Joel Mcneil,21,julia72@example.net,EMPRESARIAL,3,3,NOCHE,MARTES,18:15-21:25,Programación para la Web II,Raymond Miller,1,4.2,3.4,4.0,NO,FORMACIÓN
116,Bradley Johnson,19,annagillespie@example.com,REGULAR,30,2,MAÑANA,SABADO,7:30-10:30,Programación para la Web I,Christopher Thomas,1,4.2,4.3,4.0,NO,FORMACIÓN
117,Matthew Johnson,19,gedwards@example.net,EMPRESARIAL,16,1,MAÑANA,JUEVES,7:30-10:30,Introducción a la Programación,Raymond Miller,2,3.7,3.1,3.1,SI,FORMACIÓN
118,Dillon Mccullough,19,lporter@example.com,EMPRESARIAL,28,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Emily Villegas,1,3.3,2.9,2.8,NO,FORMACIÓN
119,Jennifer Harris,27,sarahortiz@example.org,REGULAR,4,1,NOCHE,MIERCOLES,18:15-21:25,Metodologías Ágiles para la Programación,Michael Williams,2,3.1,3.1,4.9,SI,FORMACIÓN
120,Albert Long,21,jlevine@example.com,REGULAR,19,3,MAÑANA,SABADO,7:30-10:30,Nuevas Tecnologias de la Programación,Emily Villegas,1,4.9,4.8,4.7,NO,FORMACIÓN
121,George Robinson,25,chad94@example.org,REGULAR,27,2,MAÑANA,JUEVES,7:30-10:30,Programación de Aplicaciones Móviles I,Anna Cruz,2,4.2,4.3,3.5,SI,FORMACIÓN
122,James Ramos,19,johnsonshelly@example.org,REGULAR,34,4,NOCHE,MIERCOLES,18:15-21:25,Programación de Aplicaciones Móviles III,Anna Cruz,2,3.1,4.7,3.6,SI,FORMACIÓN
123,Jared Rose,27,armstrongbradley@example.org,REGULAR,8,1,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Metodologías Ágiles para la Programación,Kathryn Carroll,1,3.5,3.3,4.6,NO,FORMACIÓN
124,James Roach,27,lamraven@example.org,EMPRESARIAL,7,2,NOCHE,VIERNES,18:15-21:25,Programación para la Web I,Raymond Miller,3,4.2,3.0,4.4,NO,FORMACIÓN
125,Jessica Martin,27,wmiller@example.net,EMPRESARIAL,6,3,TARDE,SABADO,15:00-18:00,Programación para la Web II,Anna Cruz,2,3.1,4.6,3.2,NO,CANCELADO
126,Kirsten Finley,28,pduffy@example.net,EMPRESARIAL,3,3,NOCHE,MARTES,18:15-21:25,Programación para la Web II,Raymond Miller,3,4.6,3.6,3.7,SI,FORMACIÓN
127,Teresa Hudson,21,omolina@example.com,REGULAR,13,2,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Gestión de Bases de Datos,Erin Smith,2,4.9,4.1,4.5,SI,FORMACIÓN
128,Luke Jensen,26,kyleobrien@example.org,EMPRESARIAL,31,2,MAÑANA,VIERNES,7:30-10:30,Gestión de Bases de Datos,Connie Pace,3,4.0,3.2,3.2,SI,FORMACIÓN
129,Donna Johnson,27,hunteramber@example.org,REGULAR,32,2,NOCHE,VIERNES,18:15-21:25,Programación de Aplicaciones Móviles I,Kathryn Carroll,1,4.2,2.8,4.7,SI,CANCELADO
130,Jennifer Anderson,21,khernandez@example.org,REGULAR,31,2,MAÑANA,VIERNES,7:30-10:30,Gestión de Bases de Datos,Sierra Phillips,1,3.8,4.9,4.4,NO,FORMACIÓN
131,Stephen Lewis,24,jennifer38@example.org,EMPRESARIAL,7,2,NOCHE,VIERNES,18:15-21:25,Programación para la Web I,Kathryn Carroll,1,5.0,4.1,3.3,NO,FORMACIÓN
132,Adrian Perez,25,heatherbutler@example.org,EMPRESARIAL,28,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Connie Pace,3,3.0,3.1,2.9,NO,FORMACIÓN
133,Jamie Daniel,27,davisnathan@example.com,REGULAR,6,3,TARDE,SABADO,15:00-18:00,Programación para la Web II,Erin Smith,1,4.1,4.0,3.5,SI,FORMACIÓN
