Mesa;Usuario;Fecha;Hora;Estado;Producto;Cantidad;Comentario;Precio;Producto;Cantidad;Comentario;Precio;Producto;Cantidad;Comentario;Precio;Total
1;Elizabeth Restrepo;26/08/2023;1:51:00 p. m.;Terminado;Punta de anca;3;Termino Medio;44500;Limonada saborizada;3;De cereza;9500;Tiramisú;3;Con endulzante;24900;236700
1;Elizabeth Restrepo;26/08/2023;1:55:00 p. m.;Terminado;Lomo salteado;2;Termino azul;44500;Limonada saborizada;2;De Coco;9500;Tiramisú;2;Con endulzante;24900;157800
2;Juan Morales;26/08/2023;1:58:00 p. m.;Terminado;Rulet de pollo;2;Termino medio;37900;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;144600
3;Elizabeth Restrepo;27/08/2023;2:02:00 p. m.;Terminado;Rulet de pollo;3;Termino medio;37900;Limonada saborizada;3;De cereza;9500;Tiramisú;3;Con endulzante;24900;216900
3;Norbey Hernández;25/08/2023;2:05:00 p. m.;Terminado;Rulet de pollo;2;Termino medio;37900;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;144600
3;Juan Morales;26/08/2023;2:08:00 p. m.;Terminado;Churrasco;1;Termino azul;44500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;78900
4;Norbey Hernández;25/08/2023;2:10:00 p. m.;Terminado;Churrasco;1;Termino azul;44500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;78900
4;Elizabeth Restrepo;24/08/2023;2:20:00 p. m.;Terminado;Punta de anca;5;Termino Medio;44500;Limonada saborizada;5;De cereza;9500;Tiramisú;5;Con endulzante;24900;394500
5;Norbey Hernández;27/08/2023;2:30:00 p. m.;Terminado;Punta de anca;7;Termino Medio;44500;Limonada saborizada;7;De cereza;9500;Tiramisú;7;Con endulzante;24900;552300
5;Elizabeth Restrepo;24/08/2023;2:35:00 p. m.;Terminado;Rulet de pollo;2;Termino medio;37900;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;144600
5;Juan Morales;25/08/2023;2:41:00 p. m.;Terminado;Rulet de pollo;4;Termino medio;37900;Limonada saborizada;4;De cereza;9500;Tiramisú;4;Con endulzante;24900;289200
1;Juan Morales;27/08/2023;2:45:00 p. m.;Terminado;Punta de anca;2;Termino Medio;44500;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;157800
5;Elizabeth Restrepo;24/08/2023;2:48:00 p. m.;Terminado;Churrasco;1;Termino azul;44500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;78900
2;Norbey Hernández;1/09/2023;2:50:00 p. m.;Terminado;Punta de anca;1;Termino Medio;44500;Limonada saborizada;1;De cereza;9500;Tiramisú;1;Con endulzante;24900;78900
3;Elizabeth Restrepo;24/08/2023;2:55:00 p. m.;Terminado;Churrasco;1;Termino azul;44500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;78900
4;Elizabeth Restrepo;2/09/2023;3:00:00 p. m.;Terminado;Rulet de pollo;1;Termino medio;37900;Limonada saborizada;1;De cereza;9500;Tiramisú;1;Con endulzante;24900;72300
4;Norbey Hernández;26/08/2023;3:02:00 p. m.;Terminado;Churrasco;1;Termino azul;44500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;78900
3;Juan Morales;3/09/2023;3:05:00 p. m.;Terminado;Punta de anca;7;Termino Medio;44500;Limonada saborizada;7;De cereza;9500;Tiramisú;7;Con endulzante;24900;552300
1;Elizabeth Restrepo;25/08/2023;3:07:00 p. m.;Terminado;Lomo de res;3;Bien cocido;42000;Limonda Natural;3;Con Azucar ;9000;Tiramisú;3;Con endulzante;24900;227700
2;Elizabeth Restrepo;27/08/2023;3:09:00 p. m.;Terminado;Punta de anca;7;Termino Medio;44500;Limonada saborizada;7;De cereza;9500;Tiramisú;7;Con endulzante;24900;552300
4;Juan Morales;24/08/2023;3:15:00 p. m.;Terminado;Rulet de pollo;3;Termino medio;37900;Limonada saborizada;3;De cereza;9500;Tiramisú;3;Con endulzante;24900;216900
5;Elizabeth Restrepo;4/09/2023;3:18:00 p. m.;Terminado;Paella Valenciana;1;Sin ajonjoli;41500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;75900
3;Norbey Hernández;27/08/2023;3:22:00 p. m.;Terminado;Rulet de pollo;4;Termino medio;37900;Limonada saborizada;4;De cereza;9500;Tiramisú;4;Con endulzante;24900;289200
1;Juan Morales;25/08/2023;3:28:00 p. m.;Terminado;Tiramisú;2;Con endulzante;24900;Te helado;2;Sin azucar;8000;Te helado;2;Sin azucar;8000;81800
2;Juan Morales;24/08/2023;3:32:00 p. m.;Terminado;Churrasco;2;Termino azul;44500;Limonada saborizada;2;De Coco;9500;Tiramisú;2;Con endulzante;24900;157800
2;Juan Morales;5/09/2023;3:40:00 p. m.;Terminado;Lomo salteado;3;Termino azul;44500;Limonada saborizada;3;De Coco;9500;Tiramisú;3;Con endulzante;24900;236700
1;Norbey Hernández;24/08/2023;3:46:00 p. m.;Terminado;Punta de anca;1;Termino Medio;44500;Limonada saborizada;1;De cereza;9500;Tiramisú;1;Con endulzante;24900;78900
3;Elizabeth Restrepo;6/09/2023;3:50:00 p. m.;Terminado;Lomo de res;3;Bien cocido;42000;Limonda Natural;3;Con Azucar ;9000;Tiramisú;3;Con endulzante;24900;227700
4;Juan Morales;24/08/2023;3:58:00 p. m.;Terminado;brazo de reina;3;Sin azucar;22000;Limonada saborizada;3;De Coco;9500;Tiramisú;3;Con endulzante;24900;169200
3;Elizabeth Restrepo;7/09/2023;4:04:00 p. m.;Terminado;Punta de anca;2;Termino Medio;44500;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;157800
2;Norbey Hernández;27/08/2023;4:10:00 p. m.;Terminado;Lomo de res;5;Bien cocido;42000;Limonda Natural;5;Con Azucar ;9000;Tiramisú;5;Con endulzante;24900;379500
3;Norbey Hernández;25/08/2023;4:14:00 p. m.;Terminado;Rulet de pollo;4;Termino medio;37900;Limonada saborizada;4;De cereza;9500;Tiramisú;4;Con endulzante;24900;289200
1;Norbey Hernández;26/08/2023;4:18:00 p. m.;Terminado;Postre Tentación;2;Con endulzante;23900;Limonada Natural;2;Con endulzante;9000;Limonda Natural;2;Con endulzante;9000;83800
3;Juan Morales;8/09/2023;4:22:00 p. m.;Terminado;Punta de anca;3;Termino Medio;44500;Limonada saborizada;3;De cereza;9500;Tiramisú;3;Con endulzante;24900;236700
2;Norbey Hernández;9/09/2023;4:30:00 p. m.;Terminado;Churrasco;3;Termino azul;44500;Limonada saborizada;3;De Coco;9500;Tiramisú;3;Con endulzante;24900;236700
4;Juan Morales;24/08/2023;4:40:00 p. m.;Terminado;Meya;1;Sin cebolla;39000;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;73400
3;Norbey Hernández;10/09/2023;4:45:00 p. m.;Terminado;Punta de anca;7;Termino Medio;44500;Limonada saborizada;7;De cereza;9500;Tiramisú;7;Con endulzante;24900;552300
1;Norbey Hernández;27/08/2023;4:52:00 p. m.;Terminado;Lomo de res;2;Bien cocido;42000;Limonda Natural;2;Con Azucar ;9000;Tiramisú;2;Con endulzante;24900;151800
3;Elizabeth Restrepo;25/08/2023;4:59:00 p. m.;Terminado;Rulet de pollo;2;Termino medio;37900;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;144600
3;Norbey Hernández;11/09/2023;5:01:00 p. m.;Terminado;Churrasco;2;Termino azul;44500;Limonada saborizada;2;De Coco;9500;Tiramisú;2;Con endulzante;24900;157800
2;Elizabeth Restrepo;24/08/2023;5:04:00 p. m.;Terminado;Lomo salteado;4;Termino azul;44500;Limonada saborizada;4;De Coco;9500;Tiramisú;4;Con endulzante;24900;315600
1;Juan Morales;12/09/2023;5:10:00 p. m.;Terminado;Punta de anca;3;Termino Medio;44500;Limonada saborizada;3;De cereza;9500;Tiramisú;3;Con endulzante;24900;236700
6;Elizabeth Restrepo;13/09/2023;5:12:00 p. m.;Terminado;Churrasco;5;Termino azul;44500;Limonada saborizada;5;De Coco;9500;Tiramisú;5;Con endulzante;24900;394500
1;Juan Morales;14/09/2023;5:14:00 p. m.;Terminado;Rulet de pollo;2;Termino medio;37900;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;144600
4;Elizabeth Restrepo;24/08/2023;5:17:00 p. m.;Terminado;Rulet de pollo;2;Termino medio;37900;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;144600
2;Norbey Hernández;27/08/2023;5:19:00 p. m.;Terminado;Punta de anca;5;Termino Medio;44500;Limonada saborizada;5;De cereza;9500;Tiramisú;5;Con endulzante;24900;394500
5;Elizabeth Restrepo;15/09/2023;5:23:00 p. m.;Terminado;Lomo de res;3;Bien cocido;42000;Limonda Natural;3;Con Azucar ;9000;Tiramisú;3;Con endulzante;24900;227700
2;Norbey Hernández;16/09/2023;5:26:00 p. m.;Terminado;Regnar;2;Con extra Queso ;38000;Limonda Natural;2;Con endulzante;9000;Limonda Natural;2;Con endulzante;9000;112000
5;Elizabeth Restrepo;27/08/2023;5:32:00 p. m.;Terminado;Churrasco;2;Termino azul;44500;Limonada saborizada;2;De Coco;9500;Tiramisú;2;Con endulzante;24900;157800
4;Juan Morales;24/08/2023;5:40:00 p. m.;Terminado;Rulet de pollo;2;Termino medio;37900;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;144600
5;Elizabeth Restrepo;17/09/2023;5:48:00 p. m.;Terminado;Punta de anca;7;Termino Medio;44500;Limonada saborizada;7;De cereza;9500;Tiramisú;7;Con endulzante;24900;552300
2;Juan Morales;18/09/2023;5:53:00 p. m.;Terminado;Super burguer;1;Con doble queso;39500;Limonda Natural;1;Con Azucar ;9000;Limonda Natural;1;Con Azucar ;9000;57500
5;Elizabeth Restrepo;24/08/2023;5:58:00 p. m.;Terminado;Rulet de pollo;2;Termino medio;37900;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;144600
1;Elizabeth Restrepo;19/09/2023;6:01:00 p. m.;Terminado;Lomo de res;4;Bien cocido;42000;Limonda Natural;4;Con Azucar ;9000;Tiramisú;4;Con endulzante;24900;303600
2;Juan Morales;25/08/2023;6:04:00 p. m.;Terminado;Punta de anca;5;Termino Medio;44500;Limonada saborizada;5;De cereza;9500;Tiramisú;5;Con endulzante;24900;394500
3;Elizabeth Restrepo;20/09/2023;6:06:00 p. m.;Terminado;Churrasco;1;Termino azul;44500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;78900
2;Juan Morales;21/09/2023;6:09:00 p. m.;Terminado;Churrasco;3;Termino azul;44500;Limonada saborizada;3;De Coco;9500;Tiramisú;3;Con endulzante;24900;236700
2;Elizabeth Restrepo;24/08/2023;6:11:00 p. m.;Terminado;Te helado;3;Sin azucar;8000;Tiramisú;3;Con endulzante;24900;Agua;3;;0;98700
3;Norbey Hernández;25/09/2023;6:12:00 p. m.;Terminado;Punta de anca;5;Termino Medio;44500;Limonada saborizada;5;De cereza;9500;Tiramisú;5;Con endulzante;24900;394500
2;Juan Morales;27/08/2023;6:15:00 p. m.;Terminado;Churrasco;1;Termino azul;44500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;78900
1;Elizabeth Restrepo;26/09/2023;6:18:00 p. m.;Terminado;Rulet de pollo;4;Termino medio;37900;Limonada saborizada;4;De cereza;9500;Tiramisú;4;Con endulzante;24900;289200
2;Juan Morales;25/08/2023;6:19:00 p. m.;Terminado;Lomo salteado;5;Termino azul;44500;Limonada saborizada;5;De Coco;9500;Tiramisú;5;Con endulzante;24900;394500
1;Norbey Hernández;24/08/2023;6:22:00 p. m.;Terminado;Punta de anca;4;Termino Medio;44500;Limonada saborizada;4;De cereza;9500;Tiramisú;4;Con endulzante;24900;315600
2;Norbey Hernández;27/09/2023;6:25:00 p. m.;Terminado;Lomo de res;3;Bien cocido;42000;Limonda Natural;3;Con Azucar ;9000;Tiramisú;3;Con endulzante;24900;227700
3;Juan Morales;28/09/2023;6:28:00 p. m.;Terminado;Rulet de pollo;2;Termino medio;37900;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;144600
3;Juan Morales;24/08/2023;6:30:00 p. m.;Terminado;Punta de anca;1;Termino Medio;44500;Limonada saborizada;1;De cereza;9500;Tiramisú;1;Con endulzante;24900;78900
1;Elizabeth Restrepo;29/09/2023;6:32:00 p. m.;Terminado;Limonada natural;6;Con endulzante;9000;Limonda Natural;6;Con endulzante;9000;Limonda Natural;6;Con endulzante;9000;162000
2;Norbey Hernández;30/09/2023;6:35:00 p. m.;Terminado;Churrasco;3;Termino azul;44500;Limonada saborizada;3;De Coco;9500;Tiramisú;3;Con endulzante;24900;236700
5;Elizabeth Restrepo;25/08/2023;6:37:00 p. m.;Terminado;Rulet de pollo;2;Termino medio;37900;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;144600
4;Juan Morales;1/09/2023;6:38:00 p. m.;Terminado;Punta de anca;7;Termino Medio;44500;Limonada saborizada;7;De cereza;9500;Tiramisú;7;Con endulzante;24900;552300
4;Elizabeth Restrepo;2/09/2023;6:39:00 p. m.;Terminado;Lomo de res;8;Bien cocido;42000;Limonda Natural;8;Con Azucar ;9000;Tiramisú;8;Con endulzante;24900;607200
4;Norbey Hernández;3/09/2023;6:41:00 p. m.;Terminado;Punta de anca;7;Termino Medio;44500;Limonada saborizada;7;De cereza;9500;Tiramisú;7;Con endulzante;24900;552300
4;Juan Morales;1/09/2023;6:43:00 p. m.;Terminado;Lomo salteado;2;Termino azul;44500;Limonada saborizada;2;De Coco;9500;Tiramisú;2;Con endulzante;24900;157800
3;Norbey Hernández;24/08/2023;6:45:00 p. m.;Terminado;Punta de anca;7;Termino Medio;44500;Limonada saborizada;7;De cereza;9500;Tiramisú;7;Con endulzante;24900;552300
2;Elizabeth Restrepo;1/09/2023;6:48:00 p. m.;Terminado;Lomo de res;2;Bien cocido;42000;Limonda Natural;2;Con Azucar ;9000;Tiramisú;2;Con endulzante;24900;151800
3;Juan Morales;24/08/2023;6:50:00 p. m.;Terminado;Rulet de pollo;2;Termino medio;37900;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;144600
1;Norbey Hernández;27/08/2023;6:52:00 p. m.;Terminado;Lomo de res;1;Bien cocido;42000;Limonda Natural;1;Con Azucar ;9000;Tiramisú;1;Con endulzante;24900;75900
3;Elizabeth Restrepo;18/09/2023;6:53:00 p. m.;Terminado;Punta de anca;1;Termino Medio;44500;Limonada saborizada;1;De cereza;9500;Tiramisú;1;Con endulzante;24900;78900
2;Norbey Hernández;24/08/2023;6:55:00 p. m.;Terminado;Lomo de res;3;Bien cocido;42000;Limonda Natural;3;Con Azucar ;9000;Tiramisú;3;Con endulzante;24900;227700
3;Juan Morales;24/08/2023;6:58:00 p. m.;Terminado;Punta de anca;7;Termino Medio;44500;Limonada saborizada;7;De cereza;9500;Tiramisú;7;Con endulzante;24900;552300
2;Elizabeth Restrepo;1/10/2023;6:59:00 p. m.;Terminado;Lomo de res;2;Bien cocido;42000;Limonda Natural;2;Con Azucar ;9000;Tiramisú;2;Con endulzante;24900;151800
2;Juan Morales;2/10/2023;7:00:00 p. m.;Terminado;Punta de anca;7;Termino Medio;44500;Limonada saborizada;7;De cereza;9500;Tiramisú;7;Con endulzante;24900;552300
4;Elizabeth Restrepo;3/10/2023;8:01:00 p. m.;Terminado;Rulet de pollo;2;Termino medio;37900;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;144600
3;Norbey Hernández;4/10/2023;8:04:00 p. m.;Terminado;Churrasco;1;Termino azul;44500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;78900
1;Juan Morales;5/10/2023;8:10:00 p. m.;Terminado;Lomo salteado;2;Termino azul;41500;Limonada saborizada;2;De Coco;9500;Tiramisú;2;Con endulzante;24900;151800
3;Norbey Hernández;6/10/2023;8:12:00 p. m.;Terminado;Punta de anca;2;Termino Medio;44500;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;157800
3;Elizabeth Restrepo;7/10/2023;8:14:00 p. m.;Terminado;Lomo de res;1;Bien cocido;42000;Limonda Natural;1;Con Azucar ;9000;Tiramisú;1;Con endulzante;24900;75900
2;Elizabeth Restrepo;8/10/2023;8:17:00 p. m.;Terminado;Paella Valenciana;3;Sin ajonjoli;41500;Limonada saborizada;3;De Coco;9500;Tiramisú;3;Con endulzante;24900;227700
1;Juan Morales;9/10/2023;8:19:00 p. m.;Terminado;Limonada saborizada;3;De Coco;9500;Limonada saborizada;3;De Coco;9500;Tiramisú;3;Con endulzante;24900;131700
6;Norbey Hernández;10/10/2023;8:23:00 p. m.;Terminado;Punta de anca;4;Termino Medio;44500;Limonada saborizada;4;De cereza;9500;Tiramisú;4;Con endulzante;24900;315600
1;Elizabeth Restrepo;11/10/2023;8:26:00 p. m.;Terminado;Lomo salteado;1;Termino azul;44500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;78900
4;Elizabeth Restrepo;12/10/2023;8:32:00 p. m.;Terminado;Churrasco;3;Termino azul;44500;Limonada saborizada;3;De Coco;9500;Tiramisú;3;Con endulzante;24900;236700
2;Norbey Hernández;13/10/2023;8:40:00 p. m.;Terminado;Lomo de res;2;Bien cocido;42000;Limonda Natural;2;Con Azucar ;9000;Tiramisú;2;Con endulzante;24900;151800
5;Elizabeth Restrepo;14/10/2023;8:48:00 p. m.;Terminado;Rulet de pollo;2;Termino medio;37900;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;144600
2;Juan Morales;15/10/2023;8:53:00 p. m.;Terminado;Churrasco;1;Termino azul;44500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;78900
5;Elizabeth Restrepo;16/10/2023;8:58:00 p. m.;Terminado;Punta de anca;1;Termino Medio;44500;Limonada saborizada;1;De cereza;9500;Tiramisú;1;Con endulzante;24900;78900
4;Norbey Hernández;17/10/2023;9:04:00 p. m.;Terminado;Churrasco;1;Termino azul;44500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;78900
5;Juan Morales;18/10/2023;9:10:00 p. m.;Terminado;Churrasco;5;Termino azul;44500;Limonada saborizada;5;De Coco;9500;Tiramisú;5;Con endulzante;24900;394500
2;Norbey Hernández;19/10/2023;9:12:00 p. m.;Terminado;Rulet de pollo;2;Termino medio;37900;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;144600
5;Elizabeth Restrepo;20/10/2023;9:14:00 p. m.;Terminado;Churrasco;1;Termino azul;44500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;78900
1;Juan Morales;21/10/2023;9:17:00 p. m.;Terminado;Paella Valenciana;3;Sin ajonjoli;41500;Limonada saborizada;3;De Coco;9500;Tiramisú;3;Con endulzante;24900;227700
2;Elizabeth Restrepo;22/10/2023;9:19:00 p. m.;Terminado;Punta de anca;3;Termino Medio;44500;Limonada saborizada;3;De cereza;9500;Tiramisú;3;Con endulzante;24900;236700
3;Elizabeth Restrepo;23/10/2023;9:23:00 p. m.;Terminado;Lomo salteado;2;Termino azul;44500;Limonada saborizada;2;De Coco;9500;Tiramisú;2;Con endulzante;24900;157800
2;Juan Morales;24/10/2023;9:26:00 p. m.;Terminado;Rulet de pollo;2;Termino medio;37900;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;144600
2;Elizabeth Restrepo;25/10/2023;9:32:00 p. m.;Terminado;Rulet de pollo;3;Termino medio;37900;Limonada saborizada;3;De cereza;9500;Tiramisú;3;Con endulzante;24900;216900
3;Norbey Hernández;26/10/2023;9:40:00 p. m.;Terminado;Rulet de pollo;2;Termino medio;37900;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;144600
2;Juan Morales;27/10/2023;9:48:00 p. m.;Terminado;Churrasco;1;Termino azul;44500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;78900
1;Norbey Hernández;28/10/2023;9:53:00 p. m.;Terminado;Churrasco;1;Termino azul;44500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;78900
2;Elizabeth Restrepo;29/10/2023;9:58:00 p. m.;Terminado;Punta de anca;5;Termino Medio;44500;Limonada saborizada;5;De cereza;9500;Tiramisú;5;Con endulzante;24900;394500
1;Norbey Hernández;30/10/2023;10:02:00 p. m.;Terminado;Punta de anca;7;Termino Medio;44500;Limonada saborizada;7;De cereza;9500;Tiramisú;7;Con endulzante;24900;552300
2;Juan Morales;31/10/2023;10:05:00 p. m.;Terminado;Rulet de pollo;2;Termino medio;37900;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;144600
3;Elizabeth Restrepo;7/10/2023;10:08:00 p. m.;Terminado;Rulet de pollo;4;Termino medio;37900;Limonada saborizada;4;De cereza;9500;Tiramisú;4;Con endulzante;24900;289200
3;Norbey Hernández;8/10/2023;10:10:00 p. m.;Terminado;Punta de anca;2;Termino Medio;44500;Limonada saborizada;2;De cereza;9500;Tiramisú;2;Con endulzante;24900;157800
1;Juan Morales;9/10/2023;10:20:00 p. m.;Terminado;Churrasco;1;Termino azul;44500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;78900
2;Norbey Hernández;10/10/2023;10:30:00 p. m.;Terminado;Punta de anca;1;Termino Medio;44500;Limonada saborizada;1;De cereza;9500;Tiramisú;1;Con endulzante;24900;78900
5;Elizabeth Restrepo;11/10/2023;10:35:00 p. m.;Terminado;Churrasco;1;Termino azul;44500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;78900
4;Elizabeth Restrepo;12/10/2023;10:41:00 p. m.;Terminado;Rulet de pollo;1;Termino medio;37900;Limonada saborizada;1;De cereza;9500;Tiramisú;1;Con endulzante;24900;72300
3;Juan Morales;13/10/2023;10:45:00 p. m.;Terminado;Churrasco;1;Termino azul;44500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;78900
2;Norbey Hernández;14/10/2023;10:48:00 p. m.;Terminado;Punta de anca;7;Termino Medio;44500;Limonada saborizada;7;De cereza;9500;Tiramisú;7;Con endulzante;24900;552300
1;Elizabeth Restrepo;15/10/2023;10:50:00 p. m.;Terminado;Lomo de res;3;Bien cocido;42000;Limonda Natural;3;Con Azucar ;9000;Tiramisú;3;Con endulzante;24900;227700
2;Elizabeth Restrepo;16/10/2023;10:55:00 p. m.;Terminado;Punta de anca;7;Termino Medio;44500;Limonada saborizada;7;De cereza;9500;Tiramisú;7;Con endulzante;24900;552300
1;Norbey Hernández;17/10/2023;12:00:00 p. m.;Terminado;Rulet de pollo;3;Termino medio;37900;Limonada saborizada;3;De cereza;9500;Tiramisú;3;Con endulzante;24900;216900
2;Elizabeth Restrepo;18/10/2023;12:05:00 p. m.;Terminado;Paella Valenciana;1;Sin ajonjoli;41500;Limonada saborizada;1;De Coco;9500;Tiramisú;1;Con endulzante;24900;75900
3;Juan Morales;19/10/2023;12:10:00 p. m.;Terminado;Rulet de pollo;4;Termino medio;37900;Limonada saborizada;4;De cereza;9500;Tiramisú;4;Con endulzante;24900;289200
3;Elizabeth Restrepo;20/10/2023;12:15:00 p. m.;Terminado;Tiramisú;2;Con endulzante;24900;Te helado;2;Sin azucar;8000;Te helado;2;Sin azucar;8000;81800
1;Norbey Hernández;21/10/2023;12:20:00 p. m.;Terminado;Churrasco;2;Termino azul;44500;Limonada saborizada;2;De Coco;9500;Tiramisú;2;Con endulzante;24900;157800
